section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-02_local,1,1.0,0.5,68.2,62.7,59.2
EAP-flake_1_E1_RE_SEC-02_local,2,2.0,0.5,51.6,34.9,39.2
EAP-flake_1_E1_RE_SEC-02_local,3,3.0,0.5,44.9,29.5,28.8
EAP-flake_1_E1_RE_SEC-02_local,4,4.0,0.5,40.8,30.8,28.5
EAP-flake_1_E1_RE_SEC-02_local,5,5.0,0.5,39.9,42.6,39.5
EAP-flake_1_E1_RE_SEC-02_local,6,6.0,0.5,36.6,20.9,17.2
EAP-flake_1_E1_RE_SEC-02_local,7,7.0,0.5,29.6,12.1,14.7
EAP-flake_1_E1_RE_SEC-02_local,8,8.0,0.5,24.0,14.2,13.8
EAP-flake_1_E1_RE_SEC-02_local,9,9.0,0.5,19.5,19.0,17.9
EAP-flake_1_E1_RE_SEC-02_local,10,10.0,0.5,12.9,74.7,75.5
