section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-07_local,1,1.0,0.2,43.8,40.3,40.2
EAP-flake_1_E1_RE_SEC-07_local,2,2.0,0.2,40.3,37.0,36.4
EAP-flake_1_E1_RE_SEC-07_local,3,3.0,0.2,38.3,34.3,33.9
EAP-flake_1_E1_RE_SEC-07_local,4,4.0,0.2,36.8,31.9,32.0
EAP-flake_1_E1_RE_SEC-07_local,5,5.0,0.2,35.5,34.9,37.2
EAP-flake_1_E1_RE_SEC-07_local,6,6.0,0.2,35.0,32.4,34.0
EAP-flake_1_E1_RE_SEC-07_local,7,7.0,0.2,34.6,30.8,29.4
EAP-flake_1_E1_RE_SEC-07_local,8,8.0,0.2,34.1,29.7,29.3
EAP-flake_1_E1_RE_SEC-07_local,9,9.0,0.2,33.8,33.3,33.5
EAP-flake_1_E1_RE_SEC-07_local,10,10.0,0.2,31.3,15.5,15.2
EAP-flake_1_E1_RE_SEC-07_local,11,11.0,0.2,27.4,10.9,10.5
EAP-flake_1_E1_RE_SEC-07_local,12,12.0,0.2,24.2,10.9,10.6
EAP-flake_1_E1_RE_SEC-07_local,13,13.0,0.2,21.6,7.2,7.1
EAP-flake_1_E1_RE_SEC-07_local,14,14.0,0.2,19.3,13.1,13.3
EAP-flake_1_E1_RE_SEC-07_local,15,15.0,0.2,17.2,9.6,9.6
